time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.28425967049e-07,5.57813566044e-08,10.0132287791,4.54549152957e-05,6.28292226375,0.0,2.14633438057e-05,5.38831372227e-06,0.440895641441,0.00223140072535,-0.0150370653588,0.0,534.9482132878114,533.9235610431709,533.961556780639,534.1137169533698
0.12000000000000001,1.24825317581e-05,2.10557429306e-06,10.0482401219,6.28312718172,6.28219160819,0.0,0.000495248113771,6.6817739643e-05,0.726011835515,-0.0111302740576,-0.00699734760232,0.0,491.1346854550837,491.7306576181252,493.8368448996497,492.85045715700215
0.18,6.73185789902e-05,2.84643160509e-06,10.0977852815,6.28313335605,6.28129530484,0.0,0.0013988231975,-7.3400982171e-05,0.925353124311,0.0163000469835,-0.0397688244153,0.0,469.6014110789053,467.0527808466346,466.4457727677599,468.5827527604027
0.23999999999999996,0.000210943203068,3.72512654362e-06,10.1613089134,0.00197020017425,6.27903013149,0.0,0.00368229185479,0.000308933538527,1.19186123535,0.0556196141719,-0.0339993280662,0.0,488.6669029851734,489.0961898143413,485.1531374922461,488.09636081600206
0.3,0.000540317561496,8.40070707602e-05,10.2390634628,0.00509869463727,6.27682420022,0.0,0.00754543525075,0.00274918249631,1.39972357044,0.0440782851819,-0.0429666132977,0.0,470.9878392292149,470.29330470671016,472.37946458721154,471.4903013398202
0.36000000000000004,0.00114846186769,0.000376630930339,10.3281804965,0.00801091909309,6.27371422512,0.0,0.0130296192314,0.00731762125201,1.57062098684,0.0562228573334,-0.082732407231,0.0,462.4724717542697,459.32777275866414,460.1526443988613,461.1142786723744
0.4200000000000001,0.00212519646316,0.000978114134533,10.4235613717,0.0114629947502,6.26914180127,0.0,0.0199680275011,0.0130482330657,1.60868068544,0.060035834056,-0.0656071590105,0.0,418.39483158459456,419.87793491452567,419.27670310027383,419.6103141676272
0.48000000000000015,0.00360968900884,0.00199681465744,10.5218367927,0.0153817575613,6.26557993936,0.0,0.0298709953235,0.0212693635588,1.66707279587,0.0741919148559,-0.0491426724006,0.0,425.1501692482277,426.55565418334135,425.7775665493526,426.9901491000427
0.5400000000000001,0.00572637938186,0.00356245623128,10.6220681055,0.0197019058619,6.26240236965,0.0,0.0409541983955,0.0313056975836,1.67394881703,0.0672212388269,-0.0619585377123,0.0,410.0043344769344,408.86204028559644,409.22399484888797,408.60755863957155
0.6000000000000002,0.00866483017309,0.00589918491522,10.7272460027,0.0240012394758,6.2584585903,0.0,0.0574110289384,0.0470420223774,1.83172167857,0.0793033648461,-0.0745992866909,0.0,458.077331160507,457.0679674040071,457.28923040935496,458.25432863454864
0.6600000000000003,0.0126828852528,0.00927992896846,10.841915832,0.0289043305615,6.25393243851,0.0,0.0770155202578,0.0661774969682,1.99031503773,0.0861538566299,-0.0771627912781,0.0,458.95626343067624,458.7484872798219,457.8358711225834,458.3857280868281
0.7200000000000003,0.0179915219372,0.0139329337314,10.9665226802,0.0340180069049,6.24980069838,0.0,0.10041936882,0.0894924541481,2.16290086141,0.0833099666756,-0.0560008102091,0.0,462.75802551190384,464.4171855238874,463.18182660995006,462.9637774729402
0.7800000000000004,0.02470154993,0.0200062576893,11.0987588825,0.0394097253362,6.24605965507,0.0,0.123590746274,0.113463916154,2.24478119032,0.100496468599,-0.0797387042583,0.0,437.55742881872453,435.5737239762699,434.6225777339535,436.0673860675904
0.8400000000000004,0.0326719951688,0.0274053146946,11.23036969,0.0453610090786,6.24113190538,0.0,0.14244784559,0.133610307295,2.14240871341,0.0964360270607,-0.0873952760328,0.0,373.1900283037185,372.4349998747506,373.1496533536828,372.763597843758
0.9000000000000005,0.042074947286,0.0363449342423,11.3611236864,0.0509063493742,6.23592363853,0.0,0.171490306351,0.164926021188,2.21586322572,0.0828672991396,-0.0856489981029,0.0,433.0688730689027,433.20928035632187,434.1599813653194,433.0274609936765
0.9600000000000005,0.0534803571634,0.0474386109481,11.4995178352,0.0555229538466,6.23053565582,0.0,0.209270385691,0.20539279739,2.39684605013,0.0611870387667,-0.0997518983236,0.0,467.56872819753585,466.4623457331211,468.0686500883129,466.38268108985545
1.0200000000000005,0.0672307837934,0.0610091061871,11.6478339456,0.059404190178,6.22451317978,0.0,0.24971611158,0.247349250054,2.54663168878,0.0708986687377,-0.101648984509,0.0,458.62781565751476,458.4687574104026,458.27501518199836,459.04919493634526
1.0800000000000005,0.0837171087063,0.0773606211691,11.8080443908,0.0632130396381,6.21834711661,0.0,0.300551524817,0.2981694881,2.79305412738,0.0414048385838,-0.105102709374,0.0,487.95228019468124,487.6862372367481,489.22595749798086,487.02738520617186
1.1400000000000006,0.103209978843,0.0966557892999,11.9800176032,0.0654757734888,6.21168766325,0.0,0.349886760837,0.345233305667,2.93894033056,0.0290587528433,-0.126608365646,0.0,459.70274208897945,457.98466128094645,460.8865998977752,459.9103941062462
1.2000000000000006,0.125859064157,0.118861786369,12.1613303191,0.0681809943098,6.20398368631,0.0,0.405903632404,0.395190997792,3.1042781075,0.0658542717899,-0.132242721707,0.0,466.2906736923072,465.83604568878496,465.39593781774886,468.26800611645956
1.2600000000000007,0.151993486427,0.144088966881,12.3519093475,0.0721887014623,6.19598385386,0.0,0.466073428726,0.446109965066,3.24782875809,0.0686124962226,-0.135597521368,0.0,461.74832650800823,461.4679335370281,460.28474638305363,460.50613919757353
